Maximum fit for each generation: 
Best fit for generation 227: 2293
Best fit for generation 228: 2293
Best fit for generation 229: 2293
Best fit for generation 230: 2297
Best fit for generation 231: 2297
Best fit for generation 232: 2297
Best fit for generation 233: 2297
Best fit for generation 234: 2297
Best fit for generation 235: 2298
Best fit for generation 236: 2298
Best fit for generation 237: 2298
Best fit for generation 238: 2298
Best fit for generation 239: 2298
Best fit for generation 240: 2298
Best fit for generation 241: 2298
Best fit for generation 242: 2298
Best fit for generation 243: 2298
Best fit for generation 244: 2298
Best fit for generation 245: 2298
Best fit for generation 246: 2298
Best fit for generation 247: 2298
Best fit for generation 248: 2298
Best fit for generation 249: 2298
Best fit for generation 250: 2298
Best fit for generation 251: 2298
Best fit for generation 252: 2298
Best fit for generation 253: 2298
Best fit for generation 254: 2298
Best fit for generation 255: 2298
Best fit for generation 256: 2298
Best fit for generation 257: 2298
Best fit for generation 258: 2298
Best fit for generation 259: 2298
Best fit for generation 260: 2298
Best fit for generation 261: 2298
Best fit for generation 262: 2298
Best fit for generation 263: 2299
Best fit for generation 264: 2299
Best fit for generation 265: 2299
Best fit for generation 266: 2299
Best fit for generation 267: 2305
Best fit for generation 268: 2305
Best fit for generation 269: 2305
Best fit for generation 270: 2305
Best fit for generation 271: 2305
Best fit for generation 272: 2305
Best fit for generation 273: 2305
Best fit for generation 274: 2317
Best fit for generation 275: 2317
Best fit for generation 276: 2317
Best fit for generation 277: 2317
Best fit for generation 278: 2317
Best fit for generation 279: 2317
Best fit for generation 280: 2317
Best fit for generation 281: 2317
Best fit for generation 282: 2317
Best fit for generation 283: 2317
Best fit for generation 284: 2317
Best fit for generation 285: 2317
Best fit for generation 286: 2317
Best fit for generation 287: 2317
Best fit for generation 288: 2317
Best fit for generation 289: 2317
Best fit for generation 290: 2317
Best fit for generation 291: 2317
Best fit for generation 292: 2317
Best fit for generation 293: 2317
Best fit for generation 294: 2317
Best fit for generation 295: 2317
Best fit for generation 296: 2317
Best fit for generation 297: 2317
Best fit for generation 298: 2317
Best fit for generation 299: 2317
Best fit for generation 300: 2317
Best fit for generation 301: 2317
Best fit for generation 302: 2336
Best fit for generation 303: 2336
Best fit for generation 304: 2336
Best fit for generation 305: 2336
Best fit for generation 306: 2336
Best fit for generation 307: 2336
Best fit for generation 308: 2336
Best fit for generation 309: 2336
Best fit for generation 310: 2336
Best fit for generation 311: 2336
Best fit for generation 312: 2336
Best fit for generation 313: 2336
Best fit for generation 314: 2336
Best fit for generation 315: 2336
Best fit for generation 316: 2336
Best fit for generation 317: 2336
Best fit for generation 318: 2336
Best fit for generation 319: 2346
Best fit for generation 320: 2346
Best fit for generation 321: 2346
Best fit for generation 322: 2346
Best fit for generation 323: 2346
Best fit for generation 324: 2346
Best fit for generation 325: 2346
Best fit for generation 326: 2346
Best fit for generation 327: 2346
Best fit for generation 328: 2346
Best fit for generation 329: 2346
Best fit for generation 330: 2346
Best fit for generation 331: 2346
Best fit for generation 332: 2346
Best fit for generation 333: 2346
Best fit for generation 334: 2346
Best fit for generation 335: 2346
Best fit for generation 336: 2346
Best fit for generation 337: 2346
Best fit for generation 338: 2346
Best fit for generation 339: 2346
Best fit for generation 340: 2346
Best fit for generation 341: 2346
Best fit for generation 342: 2346
Best fit for generation 343: 2346
Best fit for generation 344: 2346
Best fit for generation 345: 2346
Best fit for generation 346: 2346
Best fit for generation 347: 2346
Best fit for generation 348: 2346
Best fit for generation 349: 2346
Best fit for generation 350: 2346
Best fit for generation 351: 2346
Best fit for generation 352: 2346
Best fit for generation 353: 2346
Best fit for generation 354: 2346
Best fit for generation 355: 2346
Best fit for generation 356: 2346
Best fit for generation 357: 2346
Best fit for generation 358: 2346
Best fit for generation 359: 2346
Best fit for generation 360: 2346
Best fit for generation 361: 2346
Best fit for generation 362: 2346
Best fit for generation 363: 2346
Best fit for generation 364: 2346
Best fit for generation 365: 2346
Best fit for generation 366: 2346
Best fit for generation 367: 2346
Best fit for generation 368: 2346
Best fit for generation 369: 2346
Best fit for generation 370: 2346
Best fit for generation 371: 2346
Best fit for generation 372: 2346
Best fit for generation 373: 2349
Best fit for generation 374: 2349
Best fit for generation 375: 2349
Best fit for generation 376: 2349
Best fit for generation 377: 2349
Best fit for generation 378: 2349
Best fit for generation 379: 2349
Best fit for generation 380: 2349
Best fit for generation 381: 2349
Best fit for generation 382: 2349
Best fit for generation 383: 2349
Best fit for generation 384: 2349
Best fit for generation 385: 2377
Best fit for generation 386: 2377
Best fit for generation 387: 2377
Best fit for generation 388: 2377
Best fit for generation 389: 2377
Best fit for generation 390: 2377
Best fit for generation 391: 2377
Best fit for generation 392: 2377
Best fit for generation 393: 2377
Best fit for generation 394: 2377
Best fit for generation 395: 2377
Best fit for generation 396: 2377
Best fit for generation 397: 2377
Best fit for generation 398: 2377
Best fit for generation 399: 2377
Best fit for generation 400: 2377
Best fit for generation 401: 2377
Best fit for generation 402: 2377
Best fit for generation 403: 2377
Best fit for generation 404: 2377
Best fit for generation 405: 2377
Best fit for generation 406: 2377
Best fit for generation 407: 2377
Best fit for generation 408: 2377
Best fit for generation 409: 2377
Best fit for generation 410: 2377
Best fit for generation 411: 2377
Best fit for generation 412: 2377
Best fit for generation 413: 2377
Best fit for generation 414: 2377
Best fit for generation 415: 2377
Best fit for generation 416: 2377
Best fit for generation 417: 2377
Best fit for generation 418: 2377
Best fit for generation 419: 2377
Best fit for generation 420: 2377
Best fit for generation 421: 2377
Best fit for generation 422: 2377
Best fit for generation 423: 2377
Best fit for generation 424: 2377
Best fit for generation 425: 2377
Best fit for generation 426: 2377
Best fit for generation 427: 2377
Best fit for generation 428: 2377
Best fit for generation 429: 2377
Best fit for generation 430: 2377
Best fit for generation 431: 2377
Best fit for generation 432: 2377
Best fit for generation 433: 2377
Best fit for generation 434: 2377
Best fit for generation 435: 2377
Best fit for generation 436: 2377
Best fit for generation 437: 2377
Best fit for generation 438: 2377
Best fit for generation 439: 2377
Best fit for generation 440: 2377
Best fit for generation 441: 2377
Best fit for generation 442: 2377
Best fit for generation 443: 2377
Best fit for generation 444: 2377
Best fit for generation 445: 2377
Best fit for generation 446: 2377
Best fit for generation 447: 2377
Best fit for generation 448: 2377
Best fit for generation 449: 2377
Best fit for generation 450: 2377
Best fit for generation 451: 2377
Best fit for generation 452: 2377
Best fit for generation 453: 2377
Best fit for generation 454: 2377
Best fit for generation 455: 2377
Best fit for generation 456: 2377
Best fit for generation 457: 2377
Best fit for generation 458: 2377
Best fit for generation 459: 2377
Best fit for generation 460: 2377
Best fit for generation 461: 2377
Best fit for generation 462: 2377
Best fit for generation 463: 2377
Best fit for generation 464: 2377
Best fit for generation 465: 2377
Best fit for generation 466: 2377
Best fit for generation 467: 2377
Best fit for generation 468: 2377
Best fit for generation 469: 2377
Best fit for generation 470: 2377
Best fit for generation 471: 2377
Best fit for generation 472: 2377
Best fit for generation 473: 2377
Best fit for generation 474: 2377
Best fit for generation 475: 2377
Best fit for generation 476: 2377
Best fit for generation 477: 2377
Best fit for generation 478: 2377
Best fit for generation 479: 2377
Best fit for generation 480: 2377
Best fit for generation 481: 2377
Best fit for generation 482: 2377
Best fit for generation 483: 2377
Best fit for generation 484: 2377
Best fit for generation 485: 2377
Best fit for generation 486: 2377
Best fit for generation 487: 2377
Best fit for generation 488: 2377
Best fit for generation 489: 2377
Best fit for generation 490: 2377
Best fit for generation 491: 2377
Best fit for generation 492: 2377
Best fit for generation 493: 2377
Best fit for generation 494: 2377
Best fit for generation 495: 2377
Best fit for generation 496: 2377
Best fit for generation 497: 2377
Best fit for generation 498: 2377
Best fit for generation 499: 2377
Best fit for generation 500: 2377
Best fit for generation 501: 2377
Best fit for generation 502: 2377
Best fit for generation 503: 2377
Best fit for generation 504: 2377
Best fit for generation 505: 2377
Best fit for generation 506: 2377
Best fit for generation 507: 2377
Best fit for generation 508: 2377
Best fit for generation 509: 2377
Best fit for generation 510: 2377
Best fit for generation 511: 2377
Best fit for generation 512: 2377
Best fit for generation 513: 2377
Best fit for generation 514: 2377
Best fit for generation 515: 2377
Best fit for generation 516: 2377
Best fit for generation 517: 2377
Best fit for generation 518: 2377
Best fit for generation 519: 2377
Best fit for generation 520: 2377
Best fit for generation 521: 2377
Best fit for generation 522: 2377
Best fit for generation 523: 2377
Best fit for generation 524: 2377
Best fit for generation 525: 2377
Best fit for generation 526: 2377
Best fit for generation 527: 2377
Best fit for generation 528: 2377
Best fit for generation 529: 2377
Best fit for generation 530: 2377
Best fit for generation 531: 2377
Best fit for generation 532: 2377
Best fit for generation 533: 2377
Best fit for generation 534: 2377
Best fit for generation 535: 2377
Best fit for generation 536: 2377
Best fit for generation 537: 2377
Best fit for generation 538: 2377
Best fit for generation 539: 2377
Best fit for generation 540: 2377
Best fit for generation 541: 2377
Best fit for generation 542: 2377
Best fit for generation 543: 2377
Best fit for generation 544: 2377
Best fit for generation 545: 2377
Best fit for generation 546: 2377
Best fit for generation 547: 2377
Best fit for generation 548: 2377
Best fit for generation 549: 2377
Best fit for generation 550: 2377
Best fit for generation 551: 2377
Best fit for generation 552: 2377
Best fit for generation 553: 2377
Best fit for generation 554: 2377
Best fit for generation 555: 2377
Best fit for generation 556: 2377
Best fit for generation 557: 2377
Best fit for generation 558: 2377
Best fit for generation 559: 2377
Best fit for generation 560: 2377
Best fit for generation 561: 2377
Best fit for generation 562: 2377
Best fit for generation 563: 2377
Best fit for generation 564: 2377
Best fit for generation 565: 2377
Best fit for generation 566: 2377
Best fit for generation 567: 2377
Best fit for generation 568: 2377
Best fit for generation 569: 2377
Best fit for generation 570: 2377
Best fit for generation 571: 2377
Best fit for generation 572: 2377
Best fit for generation 573: 2377
Best fit for generation 574: 2377
Best fit for generation 575: 2377
Best fit for generation 576: 2377
Best fit for generation 577: 2377
Best fit for generation 578: 2377
Best fit for generation 579: 2377
Best fit for generation 580: 2377
Best fit for generation 581: 2377
Best fit for generation 582: 2377
Best fit for generation 583: 2377
Best fit for generation 584: 2377
Best fit for generation 585: 2377
Best fit for generation 586: 2377
Best fit for generation 587: 2377
Best fit for generation 588: 2377
Best fit for generation 589: 2377
Best fit for generation 590: 2377
Best fit for generation 591: 2377
Best fit for generation 592: 2377
Best fit for generation 593: 2377
Best fit for generation 594: 2377
Best fit for generation 595: 2377
Best fit for generation 596: 2377
Best fit for generation 597: 2377
Best fit for generation 598: 2377
Best fit for generation 599: 2377
Best fit for generation 600: 2377
Best fit for generation 601: 2377
Best fit for generation 602: 2377
Best fit for generation 603: 2377
Best fit for generation 604: 2377
Best fit for generation 605: 2377
Best fit for generation 606: 2377
Best fit for generation 607: 2377
Best fit for generation 608: 2377
Best fit for generation 609: 2377
Best fit for generation 610: 2377
Best fit for generation 611: 2377
Best fit for generation 612: 2377
Best fit for generation 613: 2377
Best fit for generation 614: 2377
Best fit for generation 615: 2377
Best fit for generation 616: 2377
Best fit for generation 617: 2377
Best fit for generation 618: 2377
Best fit for generation 619: 2377
Best fit for generation 620: 2377
Best fit for generation 621: 2377
Best fit for generation 622: 2377
Best fit for generation 623: 2377
Best fit for generation 624: 2377
Best fit for generation 625: 2377
Best fit for generation 626: 2377
Best fit for generation 627: 2377
Best fit for generation 628: 2377
Best fit for generation 629: 2377
Best fit for generation 630: 2377
Best fit for generation 631: 2377
Best fit for generation 632: 2377
Best fit for generation 633: 2377
Best fit for generation 634: 2377
Best fit for generation 635: 2377
Best fit for generation 636: 2377
Best fit for generation 637: 2377
Best fit for generation 638: 2377
Best fit for generation 639: 2377
Best fit for generation 640: 2377
Best fit for generation 641: 2377
Best fit for generation 642: 2377
Best fit for generation 643: 2377
Best fit for generation 644: 2377
Best fit for generation 645: 2377
Best fit for generation 646: 2377
Best fit for generation 647: 2377
Best fit for generation 648: 2377
Best fit for generation 649: 2377
Best fit for generation 650: 2377
Best fit for generation 651: 2377
Best fit for generation 652: 2377
Best fit for generation 653: 2377
Best fit for generation 654: 2377
Best fit for generation 655: 2377
Best fit for generation 656: 2377
Best fit for generation 657: 2377
Best fit for generation 658: 2377
Best fit for generation 659: 2377
Best fit for generation 660: 2377
Best fit for generation 661: 2377
Best fit for generation 662: 2377
Best fit for generation 663: 2377
Best fit for generation 664: 2377
Best fit for generation 665: 2377
Best fit for generation 666: 2377
Best fit for generation 667: 2377
Best fit for generation 668: 2377
Best fit for generation 669: 2377
Best fit for generation 670: 2377
Best fit for generation 671: 2377
Best fit for generation 672: 2377
Best fit for generation 673: 2377
Best fit for generation 674: 2377
Best fit for generation 675: 2377
Best fit for generation 676: 2377
Best fit for generation 677: 2377
Best fit for generation 678: 2377
Best fit for generation 679: 2377
Best fit for generation 680: 2377
Best fit for generation 681: 2377
Best fit for generation 682: 2377
Best fit for generation 683: 2377
Best fit for generation 684: 2377
Best fit for generation 685: 2377
Best fit for generation 686: 2377
Best fit for generation 687: 2377
Best fit for generation 688: 2377
Best fit for generation 689: 2377
Best fit for generation 690: 2377
Best fit for generation 691: 2377
Best fit for generation 692: 2377
Best fit for generation 693: 2377
Best fit for generation 694: 2377
Best fit for generation 695: 2377
Best fit for generation 696: 2377
Best fit for generation 697: 2377
Best fit for generation 698: 2377
Best fit for generation 699: 2377
Best fit for generation 700: 2377
Best fit for generation 701: 2377
Best fit for generation 702: 2377
Best fit for generation 703: 2377
Best fit for generation 704: 2381
Best fit for generation 705: 2381
Best fit for generation 706: 2381
Best fit for generation 707: 2381
Best fit for generation 708: 2381
Best fit for generation 709: 2381
Best fit for generation 710: 2381
Best fit for generation 711: 2381
Best fit for generation 712: 2381
Best fit for generation 713: 2381
Best fit for generation 714: 2381
Best fit for generation 715: 2381
Best fit for generation 716: 2382
Best fit for generation 717: 2382
Best fit for generation 718: 2382
Best fit for generation 719: 2382
Best fit for generation 720: 2382
Best fit for generation 721: 2382
Best fit for generation 722: 2382
Best fit for generation 723: 2382
Best fit for generation 724: 2382
Best fit for generation 725: 2382
Best fit for generation 726: 2382
Best fit for generation 727: 2382
Best fit for generation 728: 2382
Best fit for generation 729: 2382
Best fit for generation 730: 2382
Best fit for generation 731: 2382
Best fit for generation 732: 2382
Best fit for generation 733: 2382
Best fit for generation 734: 2382
Best fit for generation 735: 2382
Best fit for generation 736: 2382
Best fit for generation 737: 2382
Best fit for generation 738: 2382
Best fit for generation 739: 2382
Best fit for generation 740: 2382
Best fit for generation 741: 2382
Best fit for generation 742: 2382
Best fit for generation 743: 2382
Best fit for generation 744: 2382
Best fit for generation 745: 2382
Best fit for generation 746: 2382
Best fit for generation 747: 2382
Best fit for generation 748: 2382
Best fit for generation 749: 2382
