Maximum fit for each generation: 
Best fit for generation 227: 2098
Best fit for generation 228: 2098
Best fit for generation 229: 2098
Best fit for generation 230: 2098
Best fit for generation 231: 2098
Best fit for generation 232: 2098
Best fit for generation 233: 2098
Best fit for generation 234: 2098
Best fit for generation 235: 2098
Best fit for generation 236: 2098
Best fit for generation 237: 2098
Best fit for generation 238: 2098
Best fit for generation 239: 2098
Best fit for generation 240: 2098
Best fit for generation 241: 2098
Best fit for generation 242: 2098
Best fit for generation 243: 2098
Best fit for generation 244: 2098
Best fit for generation 245: 2098
Best fit for generation 246: 2098
Best fit for generation 247: 2098
Best fit for generation 248: 2098
Best fit for generation 249: 2098
Best fit for generation 250: 2098
Best fit for generation 251: 2098
Best fit for generation 252: 2098
Best fit for generation 253: 2098
Best fit for generation 254: 2098
Best fit for generation 255: 2098
Best fit for generation 256: 2098
Best fit for generation 257: 2098
Best fit for generation 258: 2098
Best fit for generation 259: 2098
Best fit for generation 260: 2098
Best fit for generation 261: 2098
Best fit for generation 262: 2098
Best fit for generation 263: 2098
Best fit for generation 264: 2098
Best fit for generation 265: 2098
Best fit for generation 266: 2098
Best fit for generation 267: 2098
Best fit for generation 268: 2098
Best fit for generation 269: 2098
Best fit for generation 270: 2098
Best fit for generation 271: 2098
Best fit for generation 272: 2098
Best fit for generation 273: 2098
Best fit for generation 274: 2098
Best fit for generation 275: 2098
Best fit for generation 276: 2098
Best fit for generation 277: 2098
Best fit for generation 278: 2098
Best fit for generation 279: 2098
Best fit for generation 280: 2098
Best fit for generation 281: 2098
Best fit for generation 282: 2098
Best fit for generation 283: 2098
Best fit for generation 284: 2098
Best fit for generation 285: 2098
Best fit for generation 286: 2098
Best fit for generation 287: 2098
Best fit for generation 288: 2098
Best fit for generation 289: 2098
Best fit for generation 290: 2098
Best fit for generation 291: 2098
Best fit for generation 292: 2098
Best fit for generation 293: 2098
Best fit for generation 294: 2098
Best fit for generation 295: 2098
Best fit for generation 296: 2098
Best fit for generation 297: 2098
Best fit for generation 298: 2098
Best fit for generation 299: 2100
Best fit for generation 300: 2100
Best fit for generation 301: 2100
Best fit for generation 302: 2100
Best fit for generation 303: 2100
Best fit for generation 304: 2100
Best fit for generation 305: 2100
Best fit for generation 306: 2100
Best fit for generation 307: 2100
Best fit for generation 308: 2115
Best fit for generation 309: 2115
Best fit for generation 310: 2115
Best fit for generation 311: 2115
Best fit for generation 312: 2115
Best fit for generation 313: 2115
Best fit for generation 314: 2115
Best fit for generation 315: 2115
Best fit for generation 316: 2115
Best fit for generation 317: 2115
Best fit for generation 318: 2115
Best fit for generation 319: 2115
Best fit for generation 320: 2115
Best fit for generation 321: 2115
Best fit for generation 322: 2115
Best fit for generation 323: 2115
Best fit for generation 324: 2115
Best fit for generation 325: 2115
Best fit for generation 326: 2115
Best fit for generation 327: 2115
Best fit for generation 328: 2115
Best fit for generation 329: 2115
Best fit for generation 330: 2115
Best fit for generation 331: 2115
Best fit for generation 332: 2115
Best fit for generation 333: 2115
Best fit for generation 334: 2115
Best fit for generation 335: 2115
Best fit for generation 336: 2115
Best fit for generation 337: 2115
Best fit for generation 338: 2115
Best fit for generation 339: 2115
Best fit for generation 340: 2115
Best fit for generation 341: 2115
Best fit for generation 342: 2115
Best fit for generation 343: 2133
Best fit for generation 344: 2133
Best fit for generation 345: 2133
Best fit for generation 346: 2133
Best fit for generation 347: 2133
Best fit for generation 348: 2133
Best fit for generation 349: 2133
Best fit for generation 350: 2133
Best fit for generation 351: 2133
Best fit for generation 352: 2133
Best fit for generation 353: 2133
Best fit for generation 354: 2133
Best fit for generation 355: 2133
Best fit for generation 356: 2133
Best fit for generation 357: 2133
Best fit for generation 358: 2133
Best fit for generation 359: 2133
Best fit for generation 360: 2133
Best fit for generation 361: 2133
Best fit for generation 362: 2133
Best fit for generation 363: 2133
Best fit for generation 364: 2133
Best fit for generation 365: 2133
Best fit for generation 366: 2133
Best fit for generation 367: 2133
Best fit for generation 368: 2133
Best fit for generation 369: 2133
Best fit for generation 370: 2133
Best fit for generation 371: 2133
Best fit for generation 372: 2133
Best fit for generation 373: 2133
Best fit for generation 374: 2133
Best fit for generation 375: 2133
Best fit for generation 376: 2133
Best fit for generation 377: 2133
Best fit for generation 378: 2133
Best fit for generation 379: 2133
Best fit for generation 380: 2133
Best fit for generation 381: 2133
Best fit for generation 382: 2133
Best fit for generation 383: 2133
Best fit for generation 384: 2133
Best fit for generation 385: 2133
Best fit for generation 386: 2133
Best fit for generation 387: 2133
Best fit for generation 388: 2133
Best fit for generation 389: 2133
Best fit for generation 390: 2133
Best fit for generation 391: 2133
Best fit for generation 392: 2133
Best fit for generation 393: 2133
Best fit for generation 394: 2133
Best fit for generation 395: 2133
Best fit for generation 396: 2133
Best fit for generation 397: 2133
Best fit for generation 398: 2133
Best fit for generation 399: 2133
Best fit for generation 400: 2133
Best fit for generation 401: 2133
Best fit for generation 402: 2133
Best fit for generation 403: 2133
Best fit for generation 404: 2133
Best fit for generation 405: 2133
Best fit for generation 406: 2133
Best fit for generation 407: 2133
Best fit for generation 408: 2133
Best fit for generation 409: 2133
Best fit for generation 410: 2133
Best fit for generation 411: 2133
Best fit for generation 412: 2133
Best fit for generation 413: 2133
Best fit for generation 414: 2133
Best fit for generation 415: 2133
Best fit for generation 416: 2133
Best fit for generation 417: 2133
Best fit for generation 418: 2133
Best fit for generation 419: 2133
Best fit for generation 420: 2133
Best fit for generation 421: 2133
Best fit for generation 422: 2133
Best fit for generation 423: 2133
Best fit for generation 424: 2133
Best fit for generation 425: 2133
Best fit for generation 426: 2133
Best fit for generation 427: 2133
Best fit for generation 428: 2133
Best fit for generation 429: 2133
Best fit for generation 430: 2133
Best fit for generation 431: 2133
Best fit for generation 432: 2133
Best fit for generation 433: 2133
Best fit for generation 434: 2133
Best fit for generation 435: 2133
Best fit for generation 436: 2133
Best fit for generation 437: 2133
Best fit for generation 438: 2133
Best fit for generation 439: 2133
Best fit for generation 440: 2133
Best fit for generation 441: 2133
Best fit for generation 442: 2133
Best fit for generation 443: 2133
Best fit for generation 444: 2133
Best fit for generation 445: 2133
Best fit for generation 446: 2133
Best fit for generation 447: 2133
Best fit for generation 448: 2133
Best fit for generation 449: 2133
Best fit for generation 450: 2133
Best fit for generation 451: 2133
Best fit for generation 452: 2133
Best fit for generation 453: 2133
Best fit for generation 454: 2133
Best fit for generation 455: 2133
Best fit for generation 456: 2133
Best fit for generation 457: 2133
Best fit for generation 458: 2133
Best fit for generation 459: 2133
Best fit for generation 460: 2133
Best fit for generation 461: 2133
Best fit for generation 462: 2133
Best fit for generation 463: 2133
Best fit for generation 464: 2133
Best fit for generation 465: 2133
Best fit for generation 466: 2133
Best fit for generation 467: 2133
Best fit for generation 468: 2133
Best fit for generation 469: 2133
Best fit for generation 470: 2160
Best fit for generation 471: 2160
Best fit for generation 472: 2160
Best fit for generation 473: 2160
Best fit for generation 474: 2160
Best fit for generation 475: 2168
Best fit for generation 476: 2168
Best fit for generation 477: 2168
Best fit for generation 478: 2168
Best fit for generation 479: 2168
Best fit for generation 480: 2168
Best fit for generation 481: 2168
Best fit for generation 482: 2168
Best fit for generation 483: 2168
Best fit for generation 484: 2168
Best fit for generation 485: 2168
Best fit for generation 486: 2168
Best fit for generation 487: 2168
Best fit for generation 488: 2168
Best fit for generation 489: 2168
Best fit for generation 490: 2168
Best fit for generation 491: 2168
Best fit for generation 492: 2168
Best fit for generation 493: 2168
Best fit for generation 494: 2168
Best fit for generation 495: 2168
Best fit for generation 496: 2168
Best fit for generation 497: 2168
Best fit for generation 498: 2168
Best fit for generation 499: 2168
Best fit for generation 500: 2168
Best fit for generation 501: 2168
Best fit for generation 502: 2168
Best fit for generation 503: 2168
Best fit for generation 504: 2168
Best fit for generation 505: 2168
Best fit for generation 506: 2168
Best fit for generation 507: 2168
Best fit for generation 508: 2168
Best fit for generation 509: 2168
Best fit for generation 510: 2168
Best fit for generation 511: 2168
Best fit for generation 512: 2168
Best fit for generation 513: 2168
Best fit for generation 514: 2168
Best fit for generation 515: 2168
Best fit for generation 516: 2168
Best fit for generation 517: 2168
Best fit for generation 518: 2168
Best fit for generation 519: 2168
Best fit for generation 520: 2168
Best fit for generation 521: 2168
Best fit for generation 522: 2168
Best fit for generation 523: 2168
Best fit for generation 524: 2168
Best fit for generation 525: 2168
Best fit for generation 526: 2168
Best fit for generation 527: 2168
Best fit for generation 528: 2168
Best fit for generation 529: 2168
Best fit for generation 530: 2168
Best fit for generation 531: 2168
Best fit for generation 532: 2168
Best fit for generation 533: 2168
Best fit for generation 534: 2168
Best fit for generation 535: 2168
Best fit for generation 536: 2168
Best fit for generation 537: 2168
Best fit for generation 538: 2168
Best fit for generation 539: 2168
Best fit for generation 540: 2168
Best fit for generation 541: 2168
Best fit for generation 542: 2168
Best fit for generation 543: 2168
Best fit for generation 544: 2168
Best fit for generation 545: 2168
Best fit for generation 546: 2168
Best fit for generation 547: 2168
Best fit for generation 548: 2168
Best fit for generation 549: 2168
Best fit for generation 550: 2168
Best fit for generation 551: 2168
Best fit for generation 552: 2168
Best fit for generation 553: 2168
Best fit for generation 554: 2168
Best fit for generation 555: 2168
Best fit for generation 556: 2168
Best fit for generation 557: 2168
Best fit for generation 558: 2168
Best fit for generation 559: 2168
Best fit for generation 560: 2168
Best fit for generation 561: 2168
Best fit for generation 562: 2168
Best fit for generation 563: 2168
Best fit for generation 564: 2168
Best fit for generation 565: 2168
Best fit for generation 566: 2168
Best fit for generation 567: 2168
Best fit for generation 568: 2168
Best fit for generation 569: 2168
Best fit for generation 570: 2168
Best fit for generation 571: 2168
Best fit for generation 572: 2168
Best fit for generation 573: 2168
Best fit for generation 574: 2168
Best fit for generation 575: 2168
Best fit for generation 576: 2168
Best fit for generation 577: 2168
Best fit for generation 578: 2168
Best fit for generation 579: 2168
Best fit for generation 580: 2168
Best fit for generation 581: 2168
Best fit for generation 582: 2168
Best fit for generation 583: 2168
Best fit for generation 584: 2168
Best fit for generation 585: 2168
Best fit for generation 586: 2168
Best fit for generation 587: 2168
Best fit for generation 588: 2168
Best fit for generation 589: 2168
Best fit for generation 590: 2168
Best fit for generation 591: 2168
Best fit for generation 592: 2168
Best fit for generation 593: 2168
Best fit for generation 594: 2168
Best fit for generation 595: 2168
Best fit for generation 596: 2168
Best fit for generation 597: 2168
Best fit for generation 598: 2168
Best fit for generation 599: 2168
Best fit for generation 600: 2168
Best fit for generation 601: 2168
Best fit for generation 602: 2168
Best fit for generation 603: 2168
Best fit for generation 604: 2168
Best fit for generation 605: 2168
Best fit for generation 606: 2168
Best fit for generation 607: 2168
Best fit for generation 608: 2168
Best fit for generation 609: 2168
Best fit for generation 610: 2168
Best fit for generation 611: 2168
Best fit for generation 612: 2168
Best fit for generation 613: 2168
Best fit for generation 614: 2168
Best fit for generation 615: 2168
Best fit for generation 616: 2168
Best fit for generation 617: 2168
Best fit for generation 618: 2168
Best fit for generation 619: 2168
Best fit for generation 620: 2168
Best fit for generation 621: 2168
Best fit for generation 622: 2168
Best fit for generation 623: 2168
Best fit for generation 624: 2168
