Maximum fit for each generation: 
Best fit for generation 245: 110
Best fit for generation 246: 110
Best fit for generation 247: 110
Best fit for generation 248: 110
Best fit for generation 249: 110
Best fit for generation 250: 110
Best fit for generation 251: 110
Best fit for generation 252: 110
Best fit for generation 253: 110
Best fit for generation 254: 110
Best fit for generation 255: 110
Best fit for generation 256: 110
Best fit for generation 257: 110
Best fit for generation 258: 110
Best fit for generation 259: 110
Best fit for generation 260: 110
Best fit for generation 261: 110
Best fit for generation 262: 110
Best fit for generation 263: 110
Best fit for generation 264: 110
Best fit for generation 265: 110
Best fit for generation 266: 110
Best fit for generation 267: 110
Best fit for generation 268: 110
Best fit for generation 269: 110
Best fit for generation 270: 110
Best fit for generation 271: 110
Best fit for generation 272: 110
Best fit for generation 273: 110
Best fit for generation 274: 110
Best fit for generation 275: 110
Best fit for generation 276: 110
Best fit for generation 277: 110
Best fit for generation 278: 110
Best fit for generation 279: 110
Best fit for generation 280: 110
Best fit for generation 281: 110
Best fit for generation 282: 110
Best fit for generation 283: 110
Best fit for generation 284: 110
Best fit for generation 285: 110
Best fit for generation 286: 110
Best fit for generation 287: 110
Best fit for generation 288: 110
Best fit for generation 289: 110
Best fit for generation 290: 110
Best fit for generation 291: 110
Best fit for generation 292: 110
Best fit for generation 293: 110
Best fit for generation 294: 110
Best fit for generation 295: 110
Best fit for generation 296: 110
Best fit for generation 297: 110
Best fit for generation 298: 110
Best fit for generation 299: 110
Best fit for generation 300: 110
Best fit for generation 301: 110
Best fit for generation 302: 110
Best fit for generation 303: 110
Best fit for generation 304: 110
Best fit for generation 305: 110
Best fit for generation 306: 110
Best fit for generation 307: 110
Best fit for generation 308: 110
Best fit for generation 309: 110
Best fit for generation 310: 110
Best fit for generation 311: 110
Best fit for generation 312: 110
Best fit for generation 313: 110
Best fit for generation 314: 110
Best fit for generation 315: 110
Best fit for generation 316: 110
Best fit for generation 317: 110
Best fit for generation 318: 110
Best fit for generation 319: 110
Best fit for generation 320: 110
Best fit for generation 321: 110
Best fit for generation 322: 110
Best fit for generation 323: 110
Best fit for generation 324: 110
Best fit for generation 325: 110
Best fit for generation 326: 110
Best fit for generation 327: 110
Best fit for generation 328: 110
Best fit for generation 329: 110
Best fit for generation 330: 110
Best fit for generation 331: 110
Best fit for generation 332: 110
Best fit for generation 333: 110
Best fit for generation 334: 110
Best fit for generation 335: 110
Best fit for generation 336: 110
Best fit for generation 337: 110
Best fit for generation 338: 110
Best fit for generation 339: 110
Best fit for generation 340: 110
Best fit for generation 341: 110
Best fit for generation 342: 110
Best fit for generation 343: 110
Best fit for generation 344: 110
Best fit for generation 345: 110
Best fit for generation 346: 110
Best fit for generation 347: 110
Best fit for generation 348: 110
Best fit for generation 349: 110
Best fit for generation 350: 110
Best fit for generation 351: 110
Best fit for generation 352: 110
Best fit for generation 353: 110
Best fit for generation 354: 110
Best fit for generation 355: 110
Best fit for generation 356: 110
Best fit for generation 357: 111
Best fit for generation 358: 111
Best fit for generation 359: 111
Best fit for generation 360: 111
Best fit for generation 361: 111
Best fit for generation 362: 111
Best fit for generation 363: 111
Best fit for generation 364: 111
Best fit for generation 365: 111
Best fit for generation 366: 111
Best fit for generation 367: 111
Best fit for generation 368: 111
Best fit for generation 369: 111
Best fit for generation 370: 111
Best fit for generation 371: 111
Best fit for generation 372: 111
Best fit for generation 373: 111
Best fit for generation 374: 111
Best fit for generation 375: 111
Best fit for generation 376: 111
Best fit for generation 377: 111
Best fit for generation 378: 111
Best fit for generation 379: 111
Best fit for generation 380: 111
Best fit for generation 381: 111
Best fit for generation 382: 111
Best fit for generation 383: 111
Best fit for generation 384: 111
Best fit for generation 385: 111
Best fit for generation 386: 111
Best fit for generation 387: 111
Best fit for generation 388: 111
Best fit for generation 389: 111
Best fit for generation 390: 111
Best fit for generation 391: 111
Best fit for generation 392: 111
Best fit for generation 393: 111
Best fit for generation 394: 111
Best fit for generation 395: 111
Best fit for generation 396: 111
Best fit for generation 397: 111
Best fit for generation 398: 111
Best fit for generation 399: 111
Best fit for generation 400: 111
Best fit for generation 401: 111
Best fit for generation 402: 111
Best fit for generation 403: 111
Best fit for generation 404: 111
Best fit for generation 405: 111
Best fit for generation 406: 111
Best fit for generation 407: 111
Best fit for generation 408: 111
Best fit for generation 409: 111
Best fit for generation 410: 111
Best fit for generation 411: 111
Best fit for generation 412: 111
Best fit for generation 413: 111
Best fit for generation 414: 111
Best fit for generation 415: 111
Best fit for generation 416: 111
Best fit for generation 417: 111
Best fit for generation 418: 111
Best fit for generation 419: 111
Best fit for generation 420: 111
Best fit for generation 421: 111
Best fit for generation 422: 111
Best fit for generation 423: 111
Best fit for generation 424: 111
Best fit for generation 425: 111
Best fit for generation 426: 111
Best fit for generation 427: 111
Best fit for generation 428: 111
Best fit for generation 429: 111
Best fit for generation 430: 111
Best fit for generation 431: 111
Best fit for generation 432: 111
Best fit for generation 433: 111
Best fit for generation 434: 111
Best fit for generation 435: 111
Best fit for generation 436: 111
Best fit for generation 437: 111
Best fit for generation 438: 111
Best fit for generation 439: 111
Best fit for generation 440: 111
Best fit for generation 441: 111
Best fit for generation 442: 111
Best fit for generation 443: 111
Best fit for generation 444: 111
Best fit for generation 445: 111
Best fit for generation 446: 111
Best fit for generation 447: 111
Best fit for generation 448: 111
Best fit for generation 449: 111
Best fit for generation 450: 111
Best fit for generation 451: 111
Best fit for generation 452: 111
Best fit for generation 453: 111
Best fit for generation 454: 111
Best fit for generation 455: 111
Best fit for generation 456: 111
Best fit for generation 457: 111
Best fit for generation 458: 111
Best fit for generation 459: 111
Best fit for generation 460: 111
Best fit for generation 461: 111
Best fit for generation 462: 111
Best fit for generation 463: 111
Best fit for generation 464: 111
Best fit for generation 465: 111
Best fit for generation 466: 111
Best fit for generation 467: 111
Best fit for generation 468: 111
Best fit for generation 469: 111
Best fit for generation 470: 111
Best fit for generation 471: 111
Best fit for generation 472: 111
Best fit for generation 473: 111
Best fit for generation 474: 111
Best fit for generation 475: 111
Best fit for generation 476: 111
Best fit for generation 477: 111
Best fit for generation 478: 111
Best fit for generation 479: 111
Best fit for generation 480: 111
Best fit for generation 481: 111
Best fit for generation 482: 111
Best fit for generation 483: 111
Best fit for generation 484: 111
Best fit for generation 485: 111
Best fit for generation 486: 111
Best fit for generation 487: 111
Best fit for generation 488: 111
Best fit for generation 489: 111
Best fit for generation 490: 111
Best fit for generation 491: 111
Best fit for generation 492: 111
Best fit for generation 493: 111
Best fit for generation 494: 111
Best fit for generation 495: 111
Best fit for generation 496: 111
Best fit for generation 497: 111
Best fit for generation 498: 111
Best fit for generation 499: 111
