Maximum fit for each generation: 
Best fit for generation 245: 742
Best fit for generation 246: 742
Best fit for generation 247: 742
Best fit for generation 248: 742
Best fit for generation 249: 742
Best fit for generation 250: 742
Best fit for generation 251: 742
Best fit for generation 252: 742
Best fit for generation 253: 742
Best fit for generation 254: 742
Best fit for generation 255: 742
Best fit for generation 256: 742
Best fit for generation 257: 742
Best fit for generation 258: 742
Best fit for generation 259: 742
Best fit for generation 260: 742
Best fit for generation 261: 742
Best fit for generation 262: 742
Best fit for generation 263: 742
Best fit for generation 264: 742
Best fit for generation 265: 742
Best fit for generation 266: 742
Best fit for generation 267: 742
Best fit for generation 268: 742
Best fit for generation 269: 742
Best fit for generation 270: 742
Best fit for generation 271: 742
Best fit for generation 272: 742
Best fit for generation 273: 742
Best fit for generation 274: 742
Best fit for generation 275: 742
Best fit for generation 276: 742
Best fit for generation 277: 742
Best fit for generation 278: 742
Best fit for generation 279: 742
Best fit for generation 280: 742
Best fit for generation 281: 742
Best fit for generation 282: 742
Best fit for generation 283: 742
Best fit for generation 284: 742
Best fit for generation 285: 742
Best fit for generation 286: 742
Best fit for generation 287: 742
Best fit for generation 288: 742
Best fit for generation 289: 742
Best fit for generation 290: 742
Best fit for generation 291: 742
Best fit for generation 292: 742
Best fit for generation 293: 742
Best fit for generation 294: 742
Best fit for generation 295: 742
Best fit for generation 296: 742
Best fit for generation 297: 742
Best fit for generation 298: 742
Best fit for generation 299: 742
Best fit for generation 300: 742
Best fit for generation 301: 742
Best fit for generation 302: 742
Best fit for generation 303: 742
Best fit for generation 304: 742
Best fit for generation 305: 742
Best fit for generation 306: 742
Best fit for generation 307: 742
Best fit for generation 308: 742
Best fit for generation 309: 742
Best fit for generation 310: 742
Best fit for generation 311: 742
Best fit for generation 312: 742
Best fit for generation 313: 742
Best fit for generation 314: 742
Best fit for generation 315: 742
Best fit for generation 316: 742
Best fit for generation 317: 742
Best fit for generation 318: 742
Best fit for generation 319: 742
Best fit for generation 320: 742
Best fit for generation 321: 742
Best fit for generation 322: 742
Best fit for generation 323: 742
Best fit for generation 324: 742
Best fit for generation 325: 742
Best fit for generation 326: 742
Best fit for generation 327: 742
Best fit for generation 328: 742
Best fit for generation 329: 742
Best fit for generation 330: 742
Best fit for generation 331: 742
Best fit for generation 332: 742
Best fit for generation 333: 742
Best fit for generation 334: 742
Best fit for generation 335: 742
Best fit for generation 336: 742
Best fit for generation 337: 742
Best fit for generation 338: 742
Best fit for generation 339: 742
Best fit for generation 340: 742
Best fit for generation 341: 742
Best fit for generation 342: 742
Best fit for generation 343: 742
Best fit for generation 344: 742
Best fit for generation 345: 742
Best fit for generation 346: 742
Best fit for generation 347: 742
Best fit for generation 348: 742
Best fit for generation 349: 742
Best fit for generation 350: 742
Best fit for generation 351: 742
Best fit for generation 352: 742
Best fit for generation 353: 742
Best fit for generation 354: 742
Best fit for generation 355: 742
Best fit for generation 356: 742
Best fit for generation 357: 742
Best fit for generation 358: 742
Best fit for generation 359: 742
Best fit for generation 360: 742
Best fit for generation 361: 742
Best fit for generation 362: 742
Best fit for generation 363: 742
Best fit for generation 364: 742
Best fit for generation 365: 742
Best fit for generation 366: 742
Best fit for generation 367: 742
Best fit for generation 368: 742
Best fit for generation 369: 742
Best fit for generation 370: 742
Best fit for generation 371: 742
Best fit for generation 372: 742
Best fit for generation 373: 742
Best fit for generation 374: 742
Best fit for generation 375: 742
Best fit for generation 376: 742
Best fit for generation 377: 742
Best fit for generation 378: 742
Best fit for generation 379: 742
Best fit for generation 380: 742
Best fit for generation 381: 742
Best fit for generation 382: 742
Best fit for generation 383: 742
Best fit for generation 384: 742
Best fit for generation 385: 742
Best fit for generation 386: 742
Best fit for generation 387: 742
Best fit for generation 388: 742
Best fit for generation 389: 742
Best fit for generation 390: 742
Best fit for generation 391: 742
Best fit for generation 392: 742
Best fit for generation 393: 742
Best fit for generation 394: 742
Best fit for generation 395: 742
Best fit for generation 396: 742
Best fit for generation 397: 742
Best fit for generation 398: 742
Best fit for generation 399: 742
Best fit for generation 400: 742
Best fit for generation 401: 742
Best fit for generation 402: 742
Best fit for generation 403: 742
Best fit for generation 404: 742
Best fit for generation 405: 742
Best fit for generation 406: 742
Best fit for generation 407: 742
Best fit for generation 408: 742
Best fit for generation 409: 742
Best fit for generation 410: 742
Best fit for generation 411: 742
Best fit for generation 412: 742
Best fit for generation 413: 742
Best fit for generation 414: 742
Best fit for generation 415: 742
Best fit for generation 416: 742
Best fit for generation 417: 742
Best fit for generation 418: 742
Best fit for generation 419: 742
Best fit for generation 420: 742
Best fit for generation 421: 742
Best fit for generation 422: 742
Best fit for generation 423: 742
Best fit for generation 424: 742
Best fit for generation 425: 742
Best fit for generation 426: 742
Best fit for generation 427: 742
Best fit for generation 428: 742
Best fit for generation 429: 742
Best fit for generation 430: 742
Best fit for generation 431: 742
Best fit for generation 432: 742
Best fit for generation 433: 742
Best fit for generation 434: 742
Best fit for generation 435: 742
Best fit for generation 436: 742
Best fit for generation 437: 742
Best fit for generation 438: 742
Best fit for generation 439: 742
Best fit for generation 440: 742
Best fit for generation 441: 742
Best fit for generation 442: 742
Best fit for generation 443: 742
Best fit for generation 444: 742
Best fit for generation 445: 742
Best fit for generation 446: 742
Best fit for generation 447: 742
Best fit for generation 448: 742
Best fit for generation 449: 742
Best fit for generation 450: 742
Best fit for generation 451: 742
Best fit for generation 452: 742
Best fit for generation 453: 742
Best fit for generation 454: 742
Best fit for generation 455: 742
Best fit for generation 456: 742
Best fit for generation 457: 742
Best fit for generation 458: 742
Best fit for generation 459: 742
Best fit for generation 460: 742
Best fit for generation 461: 742
Best fit for generation 462: 742
Best fit for generation 463: 742
Best fit for generation 464: 742
Best fit for generation 465: 742
Best fit for generation 466: 742
Best fit for generation 467: 742
Best fit for generation 468: 742
Best fit for generation 469: 742
Best fit for generation 470: 742
Best fit for generation 471: 742
Best fit for generation 472: 742
Best fit for generation 473: 742
Best fit for generation 474: 748
Best fit for generation 475: 748
Best fit for generation 476: 748
Best fit for generation 477: 748
Best fit for generation 478: 748
Best fit for generation 479: 748
Best fit for generation 480: 748
Best fit for generation 481: 748
Best fit for generation 482: 748
Best fit for generation 483: 748
Best fit for generation 484: 748
Best fit for generation 485: 748
Best fit for generation 486: 748
Best fit for generation 487: 748
Best fit for generation 488: 748
Best fit for generation 489: 748
Best fit for generation 490: 748
Best fit for generation 491: 748
Best fit for generation 492: 748
Best fit for generation 493: 748
Best fit for generation 494: 748
Best fit for generation 495: 748
Best fit for generation 496: 748
Best fit for generation 497: 748
Best fit for generation 498: 748
Best fit for generation 499: 748
Best fit for generation 500: 748
Best fit for generation 501: 748
Best fit for generation 502: 748
Best fit for generation 503: 748
Best fit for generation 504: 748
Best fit for generation 505: 748
Best fit for generation 506: 748
Best fit for generation 507: 748
Best fit for generation 508: 748
Best fit for generation 509: 748
Best fit for generation 510: 748
Best fit for generation 511: 748
Best fit for generation 512: 748
Best fit for generation 513: 748
Best fit for generation 514: 748
Best fit for generation 515: 748
Best fit for generation 516: 748
Best fit for generation 517: 748
Best fit for generation 518: 748
Best fit for generation 519: 748
Best fit for generation 520: 748
Best fit for generation 521: 748
Best fit for generation 522: 748
Best fit for generation 523: 748
Best fit for generation 524: 748
Best fit for generation 525: 748
Best fit for generation 526: 748
Best fit for generation 527: 748
Best fit for generation 528: 748
Best fit for generation 529: 748
Best fit for generation 530: 748
Best fit for generation 531: 748
Best fit for generation 532: 748
Best fit for generation 533: 748
Best fit for generation 534: 748
Best fit for generation 535: 748
Best fit for generation 536: 748
Best fit for generation 537: 748
Best fit for generation 538: 748
Best fit for generation 539: 748
Best fit for generation 540: 748
Best fit for generation 541: 748
Best fit for generation 542: 748
Best fit for generation 543: 748
Best fit for generation 544: 748
Best fit for generation 545: 748
Best fit for generation 546: 748
Best fit for generation 547: 748
Best fit for generation 548: 748
Best fit for generation 549: 748
Best fit for generation 550: 748
Best fit for generation 551: 748
Best fit for generation 552: 748
Best fit for generation 553: 748
Best fit for generation 554: 748
Best fit for generation 555: 748
Best fit for generation 556: 748
Best fit for generation 557: 748
Best fit for generation 558: 748
Best fit for generation 559: 748
Best fit for generation 560: 748
Best fit for generation 561: 748
Best fit for generation 562: 748
Best fit for generation 563: 748
Best fit for generation 564: 748
Best fit for generation 565: 748
Best fit for generation 566: 748
Best fit for generation 567: 748
Best fit for generation 568: 748
Best fit for generation 569: 748
Best fit for generation 570: 748
Best fit for generation 571: 748
Best fit for generation 572: 748
Best fit for generation 573: 748
Best fit for generation 574: 748
Best fit for generation 575: 748
